1	[134, 155, 154, 128, 127]
2	[562, 538, 537, 540, 539]
3	[725, 710, 709, 712, 713]
4	[169, 173, 170, 172, 177]
5	[889, 904, 855, 903, 872]
6	[430, 408, 477, 411, 479]
7	[637, 623, 629, 638, 616]
8	[248, 261, 259, 245, 265]
9	[363, 370, 369, 348, 347]
10	[978, 1000, 971, 970, 974]
11	[830, 833, 823, 844, 824]
12	[313, 310, 309, 341, 339]
13	[55, 44, 4, 54, 29]
14	[573, 599, 570, 589, 590]
15	[214, 219, 211, 243, 242]
16	[103, 104, 111, 122, 100]
17	[700, 647, 691, 699, 695]
18	[932, 938, 920, 907, 925]
19	[73, 75, 63, 81, 56]
20	[1022, 1030, 1031, 1024, 1008]
21	[387, 384, 386, 401, 398]
22	[777, 789, 800, 810, 815]
23	[754, 755, 747, 748, 753]
24	[506, 485, 486, 504, 505]
25	[291, 290, 289, 304, 303]
26	[1902, 1880, 1879, 1878, 1876]
27	[1326, 1293, 1295, 1294, 1296]
28	[1932, 1905, 1914, 1910, 1933]
29	[1491, 1464, 1465, 1474, 1475]
30	[1973, 1959, 1954, 1970, 1961]
31	[1145, 1147, 1109, 1110, 1151]
32	[1070, 1093, 1094, 1072, 1073]
33	[2122, 2145, 2152, 2096, 2144]
34	[1185, 1174, 1186, 1172, 1173]
35	[2044, 2046, 2078, 2079, 2071]
36	[1723, 1738, 1725, 1756, 1755]
37	[1039, 1047, 1054, 1055, 1037]
38	[1611, 1592, 1610, 1602, 1603]
39	[1241, 1239, 1242, 1199, 1243]
40	[1841, 1866, 1856, 1832, 1857]
41	[1815, 1809, 1826, 1813, 1812]
42	[1396, 1398, 1418, 1420, 1414]
43	[1674, 1664, 1661, 1671, 1647]
44	[1782, 1769, 1781, 1761, 1778]
45	[1640, 1618, 1619, 1615, 1616]
46	[1504, 1508, 1497, 1498, 1510]
47	[1270, 1263, 1265, 1269, 1273]
48	[1695, 1711, 1700, 1690, 1697]
49	[1987, 2006, 2009, 1986, 2002]
50	[1563, 1540, 1526, 1512, 1517]
