1	0.5714285714285714	4	7
2	0.5	5	10
3	0.2	2	10
4	0.1	1	10
5	0.4	4	10
6	0.3	3	10
7	0.14285714285714285	1	7
8	0.2	2	10
9	0.8333333333333334	5	6
10	0.4	4	10
11	0.5	2	4
12	0.75	6	8
13	0.5	5	10
14	0.6666666666666666	6	9
15	0.6666666666666666	4	6
16	0.5	5	10
17	0.4	4	10
18	0.6	6	10
19	0.5	5	10
20	0.8888888888888888	8	9
21	0.875	7	8
22	1.0	4	4
23	0.5714285714285714	4	7
24	0.7142857142857143	5	7
25	0.3	3	10
26	0.375	3	8
27	0.875	7	8
28	0.6666666666666666	2	3
29	1.0	7	7
30	1.0	6	6
31	0.8	8	10
32	0.8	8	10
33	0.7	7	10
34	0.7	7	10
35	0.8	8	10
36	0.5	5	10
37	0.6	6	10
38	0.7	7	10
39	0.7	7	10
40	0.7	7	10
41	0.7777777777777778	7	9
42	0.6	6	10
43	0.3	3	10
44	0.3	3	10
45	0.5	5	10
46	1.0	6	6
47	0.6	6	10
48	0.5	5	10
49	0.3	3	10
50	0.5	5	10
51	0.5	5	10
52	0.25	2	8
53	0.1111111111111111	1	9
54	0.5	5	10
55	0.6	6	10
56	0.6	6	10
57	0.5	5	10
58	0.375	3	8
59	0.5714285714285714	4	7
60	0.3	3	10
61	0.7	7	10
62	0.8	8	10
63	0.25	1	4
64	0.7	7	10
65	0.6	6	10
66	0.6666666666666666	6	9
67	0.5555555555555556	5	9
68	0.6	6	10
69	0.4	4	10
70	0.4	4	10
71	0.5714285714285714	4	7
72	1.0	4	4
73	0.5555555555555556	5	9
74	0.875	7	8
75	0.6666666666666666	4	6
76	0.5	3	6
77	0.6	6	10
78	1.0	4	4
79	0.7142857142857143	5	7
80	0.6666666666666666	4	6
81	0.8	8	10
82	0.6	6	10
83	0.7777777777777778	7	9
84	0.9	9	10
85	0.8	8	10
86	0.7	7	10
87	0.8	8	10
88	0.8	8	10
89	0.6	6	10
90	0.7777777777777778	7	9
91	0.875	7	8
92	0.6	6	10
93	0.7	7	10
94	0.4444444444444444	4	9
95	0.7	7	10
96	0.7	7	10
97	0.8	8	10
98	0.7	7	10
99	0.6666666666666666	6	9
100	0.9	9	10
141	0.5	5	10
142	0.2	1	5
143	0.6	6	10
144	0.6	6	10
145	0.1111111111111111	1	9
146	0.1	1	10
147	0.625	5	8
148	0.5714285714285714	4	7
149	1.0	6	6
150	0.5	5	10
151	0.6666666666666666	4	6
152	0.5	5	10
153	0.625	5	8
154	0.9	9	10
155	0.75	6	8
156	0.75	6	8
157	0.875	7	8
158	0.7777777777777778	7	9
159	0.9	9	10
160	0.8	8	10
161	0.7	7	10
162	0.5	5	10
163	0.8	8	10
164	0.5	5	10
165	0.8	8	10
